Length,breadth_s,breadth_l,Resonance Frequency,Voltage,Deflection
11.8,3,4,72.5,45.965,2.5428
11.9,3,4,72.5,46.597,2.5752
12,3,4,72.5,46.8,2.5808
12.1,3,4,72.5,47.448,2.6123
12.2,3,4,72.5,49.031,2.6904
12.3,3,4,72.5,46.87,2.5709
12.4,3,4,72.5,48.309,2.6443
12.5,3,4,72.5,48.742,2.6605
12.6,3,4,72.5,48.457,2.6437
12.7,3,4,72.5,48.277,2.6277
12.8,3,4,72.5,48.102,2.6085
12.9,3,4,72.5,47.609,2.5821
13,3,4,72.5,47.415,2.5647
13.1,3,4,72.5,46.947,2.5315
13.2,3,4,72.5,46.786,2.5211
13.3,3,4,72.5,45.779,2.4611
13.4,3,4,72.5,45.416,2.4533
13.5,3,4,72.5,44.241,2.4124
13.6,3,4,72.5,43.451,2.3188
13.7,3,4,72.5,42.351,2.26
13.8,3,4,72.5,40.776,2.167
13.9,3,4,72.5,42.067,2.22
14,3,4,72.5,39.638,2.097
14.1,3,4,72.5,39.217,2.0682
14.2,3,4,72.75,41.047,2.281
14.3,3,4,72.75,37.61,1.9704
14.4,3,4,72.75,39.956,2.0982
14.5,3,4,73,40.672,2.111
14.6,3,4,73,42.457,2.2117
14.7,3,4,73,44.506,2.309
14.8,3,4,73,45.79,2.3573
14.9,3,4,73,49.101,2.5304
15,3,4,73,51.331,2.6396
4.1,3.1,4.1,74.5,56.651,3.3075
4.1,3.2,4.2,74.5,42.142,2.4749
4.1,3.3,4.3,74,84.756,5.0245
4.1,3.4,4.4,73.5,38.152,2.2735
4.1,3.5,4.5,73.5,51.067,3.0771
4.1,3.6,4.6,73,84.205,5.0805
4.1,3.7,4.7,72.5,48.248,2.905
4.1,3.8,4.8,72.25,36.654,2.234
4.1,3.9,4.9,72,56.421,3.5208
4.1,4,5,71.5,88.718,5.5805
4.2,3.1,4.1,74.5,75.595,3.3075
4.2,3.2,4.2,74.25,50.245,2.178
4.2,3.3,4.3,74,66.799,3.9644
4.2,3.4,4.4,73.5,50.47,3.066
4.2,3.5,4.5,73.5,37.642,2.2678
4.2,3.6,4.6,73,81.219,4.9076
4.2,3.7,4.7,72.5,72.506,4.4405
4.2,3.8,4.8,72,44.271,2.7455
4.2,3.9,4.9,72,37.791,2.3626
4.2,4,5,71.5,62.129,3.9153
4.3,3.1,4.1,74.5,86.341,5.0419
4.3,3.2,4.2,74,40.421,2.737
4.3,3.3,4.3,74,46.73,2.374
4.3,3.4,4.4,73.5,71.355,4.263
4.3,3.5,4.5,73,36.896,2.2278
4.3,3.6,4.6,73,57.052,3.4679
4.3,3.7,4.7,72.5,88.56,5.4276
4.3,3.8,4.8,72,68.304,4.2179
4.3,3.9,4.9,71.5,37.613,2.3408
4.3,4,5,71.5,41.644,2.6238
4.4,3.1,4.1,74.5,71.557,4.1812
4.4,3.2,4.2,74,53.771,3.1624
4.4,3.3,4.3,73.75,73.574,2.1706
4.4,3.4,4.4,73.5,87.448,5.2345
4.4,3.5,4.5,73,48.229,2.9112
4.4,3.6,4.6,73,40.853,2.4661
4.4,3.7,4.7,72.5,67.127,4.1151
4.4,3.8,4.8,72,89.093,5.5043
4.4,3.9,4.9,71.5,54.578,3.4135
4.4,4,5,71.5,34.17,2.1632
4.5,3.1,4.1,74.5,53.986,3.1504
4.5,3.2,4.2,74,72.061,4.2583
4.5,3.3,4.3,73.5,36.001,2.1407
4.5,3.4,4.4,73.5,70.361,4.2205
4.5,3.5,4.5,73,67.302,4.055
4.5,3.6,4.6,72.75,36.789,2.235
4.5,3.7,4.7,72.5,46.351,2.8436
4.5,3.8,4.8,72,72.052,4.456
4.5,3.9,4.9,71.5,79.444,4.9796
4.5,4,5,71,51.309,3.2458
4.6,3.1,4.1,74.5,42.485,2.4799
4.6,3.2,4.2,74,86.874,5.107
4.6,3.3,4.3,73.5,47.824,2.8391
4.6,3.4,4.4,73.5,53.198,3.1779
4.6,3.5,4.5,73,87.33,5.2667
4.6,3.6,4.6,72.5,45.166,2.7426
4.6,3.7,4.7,72.25,34.754,2.196
4.6,3.8,4.8,72,47.134,2.9097
4.6,3.9,4.9,71.5,85.344,5.3312
4.6,4,5,71,73.266,4.636
4.7,3.1,4.1,74.25,34.256,2.156
4.7,3.2,4.2,74,76.752,4.5053
4.7,3.3,4.3,73.5,66.706,3.9732
4.7,3.4,4.4,73.5,40.277,2.4129
4.7,3.5,4.5,73,78.75,4.7714
4.7,3.6,4.6,72.5,65.593,3.9764
4.7,3.7,4.7,72,38.819,2.3872
4.7,3.8,4.8,72,35.211,2.1917
4.7,3.9,4.9,71.5,61.049,3.8347
4.7,4,5,71,89.657,5.6903
4.8,3.1,4.1,74,39.223,2.2946
4.8,3.2,4.2,74,57.411,3.3958
4.8,3.3,4.3,73.5,83.265,4.9597
4.8,3.4,4.4,73,34.7,2.0773
4.8,3.5,4.5,73,59.034,3.5784
4.8,3.6,4.6,72.5,86.6,5.2683
4.8,3.7,4.7,72,54.483,3.3497
4.8,3.8,4.8,71.5,37.922,2.3635
4.8,3.9,4.9,71.5,42.199,2.6522
4.8,4,5,71,63.881,4.0312
4.9,3.1,4.1,74,49.85,2.9115
4.9,3.2,4.2,74,44.375,2.6171
4.9,3.3,4.3,73.5,84.035,4.9915
4.9,3.4,4.4,73,43.335,2.6
4.9,3.5,4.5,73,42.133,2.5509
4.9,3.6,4.6,72.5,84.214,5.1269
4.9,3.7,4.7,72,77.819,4.7754
4.9,3.8,4.8,71.5,53.203,3.3149
4.9,3.9,4.9,71.25,34.567,2.237
4.9,4,5,71,44.412,2.812
5,3.1,4.1,74,67.095,3.9173
5,3.2,4.2,74,35.799,2.1111
5,3.3,4.3,73.5,67.772,4.0347
5,3.4,4.4,73,56.97,3.1417
5,3.5,4.5,72.75,35.678,2.145
5,3.6,4.6,72.5,60.981,3.7052
5,3.7,4.7,72,88.418,5.4212
5,3.8,4.8,71.5,75.7,4.7053
5,3.9,4.9,71,43.926,2.765
5,4,5,70.75,35.465,2.204
5.1,3.1,4.1,74,81.294,4.752
5.1,3.2,4.2,73.5,36.389,2.1756
5.1,3.3,4.3,73.5,49.673,2.9621
5.1,3.4,4.4,73,75.101,4.4919
5.1,3.5,4.5,72.5,39.727,2.3961
5.1,3.6,4.6,72.5,45.2,2.7756
5.1,3.7,4.7,72,67.457,4.2677
5.1,3.8,4.8,71.5,90.564,5.6306
5.1,3.9,4.9,71,63.592,4.0054
5.1,4,5,70.5,42.621,2.6888
5.2,3.1,4.1,74,87.113,5.078
5.2,3.2,4.2,73.5,45.998,2.7033
5.2,3.3,4.3,73.5,38.782,2.2953
5.2,3.4,4.4,73,89.156,5.3339
5.2,3.5,4.5,72.5,55.582,3.3736
5.2,3.6,4.6,72.5,34.423,2.0979
5.2,3.7,4.7,72,50.121,3.0715
5.2,3.8,4.8,71.5,71.837,4.4563
5.2,3.9,4.9,71,88.827,5.5547
5.2,4,5,70.5,60.774,3.8615
5.3,3.1,4.1,74,72.546,4.2359
5.3,3.2,4.2,73.5,58.378,3.4438
5.3,3.3,4.3,73.25,35.235,2.207
5.3,3.4,4.4,73,76.499,4.5868
5.3,3.5,4.5,72.5,73.197,4.4552
5.3,3.6,4.6,72,39.416,2.3964
5.3,3.7,4.7,72,38.403,2.3626
5.3,3.8,4.8,71.5,52.425,3.2621
5.3,3.9,4.9,71,84.513,5.3235
5.3,4,5,70.5,83.251,5.2915
5.4,3.1,4.1,74,58.983,3.4512
5.4,3.2,4.2,73.5,77.836,4.5938
5.4,3.3,4.3,73,41.662,2.4823
5.4,3.4,4.4,73,58.079,3.4789
5.4,3.5,4.5,72.5,90.013,5.4451
5.4,3.6,4.6,72,50.086,3.051
5.4,3.7,4.7,71.5,35.171,2.1688
5.4,3.8,4.8,71.5,38.469,2.3953
5.4,3.9,4.9,71,59.818,3.7646
5.4,4,5,70.5,87.644,5.5766
5.5,3.1,4.1,74,46.185,2.6981
5.5,3.2,4.2,73.5,88.597,5.215
5.5,3.3,4.3,73,53.764,3.1888
5.5,3.4,4.4,73,44.59,2.6718
5.5,3.5,4.5,72.5,82.103,4.9882
5.5,3.6,4.6,72,66.581,4.0507
5.5,3.7,4.7,71.5,44.974,2.7668
5.5,3.8,4.8,71,34.535,2.1495
5.5,3.9,4.9,71,43.612,2.7404
5.5,4,5,70.5,63.857,4.059
5.6,3.1,4.1,74,36.841,2.1575
5.6,3.2,4.2,73.5,82.076,4.8153
5.6,3.3,4.3,73,69.629,4.1539
5.6,3.4,4.4,73,36.046,2.1627
5.6,3.5,4.5,72.5,60.103,3.6322
5.6,3.6,4.6,72,86.506,5.2667
5.6,3.7,4.7,71.5,61.294,3.7805
5.6,3.8,4.8,71,44.976,2.7983
5.6,3.9,4.9,70.75,35.46,2.208
5.6,4,5,70.5,45.086,2.8732
5.7,3.1,4.1,73.75,37.478,2.302
5.7,3.2,4.2,73.5,64.444,3.8188
5.7,3.3,4.3,73,85.232,5.0827
5.7,3.4,4.4,72.5,36.789,2.2035
5.7,3.5,4.5,72.5,48.799,2.965
5.7,3.6,4.6,72,86.662,5.2793
5.7,3.7,4.7,71.5,83.756,5.1603
5.7,3.8,4.8,71,64.814,4.0433
5.7,3.9,4.9,70.5,39.858,2.5131
5.7,4,5,70.25,35.765,2.305
5.8,3.1,4.1,73.5,42.127,2.4635
5.8,3.2,4.2,73.5,51.244,3.0088
5.8,3.3,4.3,73,87.12,5.1781
5.8,3.4,4.4,72.5,44.373,2.6564
5.8,3.5,4.5,72.5,37.362,2.2674
5.8,3.6,4.6,72,67.063,4.0839
5.8,3.7,4.7,71.5,91.292,5.627
5.8,3.8,4.8,71,84.451,5.2537
5.8,3.9,4.9,70.5,74.823,3.4487
5.8,4,5,70,40.436,2.5708
5.9,3.1,4.1,73.5,50.252,2.9436
5.9,3.2,4.2,73.5,42.153,2.4854
5.9,3.3,4.3,73,72.567,4.3241
5.9,3.4,4.4,72.5,60.952,3.6641
5.9,3.5,4.5,72,35.712,2.165
5.9,3.6,4.6,72,50.731,3.0877
5.9,3.7,4.7,71.5,73.581,4.54
5.9,3.8,4.8,71,92.249,5.7606
5.9,3.9,4.9,70.5,69.753,4.4023
5.9,4,5,70,54.046,3.4489
6,3.1,4.1,73.5,62.386,3.6609
6,3.2,4.2,73.25,35.432,2.2043
6,3.3,4.3,73,57.124,3.4033
6,3.4,4.4,72.5,74.706,4.4893
6,3.5,4.5,72,43.545,2.6424
6,3.6,4.6,72,39.999,2.442
6,3.7,4.7,71.5,55.321,3.4075
6,3.8,4.8,71,70.731,4.4184
6,3.9,4.9,70.5,92.61,5.8392
6,4,5,70,73.661,4.6935
